Instruction #,End time,Duration,Display image id,audio id,Operator text, State,Location
0,20,20,Blank,Instructions 1,Instructions for Acclimation Trials,None,None
1,23,3,Bullseye 1,NA,Acclimation trial 1 throw 1,Add ,A1
2,23.5,0.5,Bullseye 1,Throw tone,Acclimation trial 1 throw 1,Add ,A1
3,26.5,3,Bullseye 1,NA,Acclimation trial 1 throw 2,Add ,A1
4,27,0.5,Bullseye 1,Throw tone,Acclimation trial 1 throw 2,Add ,A1
5,30,3,Bullseye 1,NA,Acclimation trial 1 throw 3,Add ,A1
6,30.5,0.5,Bullseye 1,Throw tone,Acclimation trial 1 throw 3,Add ,A1
7,45.5,15,Collect darts,Collect darts,Collecting darts for Acclimation trial 1,Save ,A1
8,48.5,3,Bullseye 1,NA,Acclimation trial 2 throw 1,Add ,A2
9,49,0.5,Bullseye 1,Throw tone,Acclimation trial 2 throw 1,Add ,A2
10,52,3,Bullseye 1,NA,Acclimation trial 2 throw 2,Add ,A2
11,52.5,0.5,Bullseye 1,Throw tone,Acclimation trial 2 throw 2,Add ,A2
12,55.5,3,Bullseye 1,NA,Acclimation trial 2 throw 3,Add ,A2
13,56,0.5,Bullseye 1,Throw tone,Acclimation trial 2 throw 3,Add ,A2
14,71,15,Collect darts,Collect darts,Collecting darts for Acclimation trial 2,Save ,A2
15,74,3,Bullseye 1,NA,Acclimation trial 3 throw 1,Add ,A3
16,74.5,0.5,Bullseye 1,Throw tone,Acclimation trial 3 throw 1,Add ,A3
17,77.5,3,Bullseye 1,NA,Acclimation trial 3 throw 2,Add ,A3
18,78,0.5,Bullseye 1,Throw tone,Acclimation trial 3 throw 2,Add ,A3
19,81,3,Bullseye 1,NA,Acclimation trial 3 throw 3,Add ,A3
20,81.5,0.5,Bullseye 1,Throw tone,Acclimation trial 3 throw 3,Add ,A3
21,96.5,15,Collect darts,Collect darts,Collecting darts for Acclimation trial 3,Save ,A3
22,99.5,3,Bullseye 1,NA,Acclimation trial 4 throw 1,Add ,A4
23,100,0.5,Bullseye 1,Throw tone,Acclimation trial 4 throw 1,Add ,A4
24,103,3,Bullseye 1,NA,Acclimation trial 4 throw 2,Add ,A4
25,103.5,0.5,Bullseye 1,Throw tone,Acclimation trial 4 throw 2,Add ,A4
26,106.5,3,Bullseye 1,NA,Acclimation trial 4 throw 3,Add ,A4
27,107,0.5,Bullseye 1,Throw tone,Acclimation trial 4 throw 3,Add ,A4
28,122,15,Collect darts,Collect darts,Collecting darts for Acclimation trial 4,Save ,A4
29,125,3,Bullseye 1,NA,Acclimation trial 5 throw 1,Add ,A5
30,125.5,0.5,Bullseye 1,Throw tone,Acclimation trial 5 throw 1,Add ,A5
31,128.5,3,Bullseye 1,NA,Acclimation trial 5 throw 2,Add ,A5
32,129,0.5,Bullseye 1,Throw tone,Acclimation trial 5 throw 2,Add ,A5
33,132,3,Bullseye 1,NA,Acclimation trial 5 throw 3,Add ,A5
34,132.5,0.5,Bullseye 1,Throw tone,Acclimation trial 5 throw 3,Add ,A5
35,147.5,15,Collect darts,Collect darts,Collecting darts for Acclimation trial 5,Save ,A5
36,150.5,3,Bullseye 1,NA,Acclimation trial 6 throw 1,Add ,A6
37,151,0.5,Bullseye 1,Throw tone,Acclimation trial 6 throw 1,Add ,A6
38,154,3,Bullseye 1,NA,Acclimation trial 6 throw 2,Add ,A6
39,154.5,0.5,Bullseye 1,Throw tone,Acclimation trial 6 throw 2,Add ,A6
40,157.5,3,Bullseye 1,NA,Acclimation trial 6 throw 3,Add ,A6
41,158,0.5,Bullseye 1,Throw tone,Acclimation trial 6 throw 3,Add ,A6
42,173,15,Collect darts,Collect darts,Collecting darts for Acclimation trial 6,Save ,A6
43,176,3,Bullseye 1,NA,Acclimation trial 7 throw 1,Add ,A7
44,176.5,0.5,Bullseye 1,Throw tone,Acclimation trial 7 throw 1,Add ,A7
45,179.5,3,Bullseye 1,NA,Acclimation trial 7 throw 2,Add ,A7
46,180,0.5,Bullseye 1,Throw tone,Acclimation trial 7 throw 2,Add ,A7
47,183,3,Bullseye 1,NA,Acclimation trial 7 throw 3,Add ,A7
48,183.5,0.5,Bullseye 1,Throw tone,Acclimation trial 7 throw 3,Add ,A7
49,198.5,15,Collect darts,Collect darts,Collecting darts for Acclimation trial 7,Save ,A7
